"Source","Original_source","n"
"Copertino et al under review","Adaime 1978",3
"Copertino et al under review","Azevedo 2015-UNPUBLISHED",18
"Copertino et al under review","Bouza et al 2017",4
"Copertino et al under review","Braga et al 2011",8
"Copertino et al under review","Costa et al 2019",3
"Copertino et al under review","Ferreira 2008",3
"Copertino et al under review","Flynn et al 1998",2
"Copertino et al under review","Hidalgo et al 2021",1
"Copertino et al under review","Idaskin et al 2015",4
"Copertino et al under review","Idaszkin et al 2014",2
"Copertino et al under review","Lacerda et al 1997",22
"Copertino et al under review","Marinho et al 2018",10
"Copertino et al under review","Negrin et al 2019",3
"Copertino et al under review","Neto & Lana 1997",20
"Copertino et al under review","Newton 2017",49
"Copertino et al under review","Otero et al 2006",7
"Copertino et al under review","Payne et al 2019",15
"Copertino et al under review","Rabelo 2012",2
"Copertino et al under review","Rios et al 2018",21
"Copertino et al under review","UNPUBLISHED",48
"Copertino et al under review","Zanin 2003",6
"Fu et al 2021","Loh et al 2018",1
"Fu et al 2021","Lu et al 2019",2
"Fu et al 2021","Wan et al 2017",2
"Fu et al 2021","Wang et al 2017",3
"He et al 2020","Bakker et al 1985",1
"He et al 2020","Di Bella et al 2015",3
"He et al 2020","Elschot et al 2015",9
"He et al 2020","Ford et al 2012",1
"He et al 2020","Kiehl et al 2001",1
"He et al 2020","McLaren Jefferies 2004",3
"He et al 2020","Moore 2018",3
"He et al 2020","Morris Jensen 1998",1
"He et al 2020","Mueller et al 2017",4
"He et al 2020","Olsen et al 2011",1
"He et al 2020","Ruess et al 2019",2
"He et al 2020","Sammul et al 2012",2
"He et al 2020","Schrama et al 2013",2
"He et al 2020","Van Wijnen et al 1999",1
"He et al 2020","Wilson Jefferies 1996",5
"He et al 2020","Yang et al 2017",2
"He et al 2020","Yu Chmura 2009",1
"He et al 2020","Zacheis et al Oecologia 2002",1
"Hu et al 2020","Bu et al 2015",4
"Hu et al 2020","Bu et al 2018",4
"Hu et al 2020","Chang and Yan 2003",1
"Hu et al 2020","Chen et al 2017",1
"Hu et al 2020","Chen et al 2018",5
"Hu et al 2020","Cheng et al 2010",2
"Hu et al 2020","Du et al 2014",1
"Hu et al 2020","Du et al 2015",1
"Hu et al 2020","Gao et al 2018",1
"Hu et al 2020","He et al 2018",1
"Hu et al 2020","Hu et al 2014",1
"Hu et al 2020","Hu et al 2017",1
"Hu et al 2020","Hu et al 2017a",2
"Hu et al 2020","Huang et al 2001",1
"Hu et al 2020","Huang et al 2005",1
"Hu et al 2020","Jiang et al 2012",4
"Hu et al 2020","Li et al 2015",2
"Hu et al 2020","Li et al 2018",1
"Hu et al 2020","Liu et al 2010",3
"Hu et al 2020","Liu et al 2017",5
"Hu et al 2020","Mou et al 2014",2
"Hu et al 2020","Mou et al 2018",2
"Hu et al 2020","Olsson et al 2015",4
"Hu et al 2020","Pan et al 2016",2
"Hu et al 2020","Rao et al 2018",2
"Hu et al 2020","Shao et al 2017",1
"Hu et al 2020","Shao et al 2017a",1
"Hu et al 2020","Sheng et al 2014",2
"Hu et al 2020","Song and Li 2016",1
"Hu et al 2020","Song et al 2014",4
"Hu et al 2020","Song et al 2018",1
"Hu et al 2020","Sun et al 2013",8
"Hu et al 2020","Sun et al 2014",4
"Hu et al 2020","Sun et al 2017",4
"Hu et al 2020","Sun et al 2018",4
"Hu et al 2020","Tan et al 2018",1
"Hu et al 2020","Tong et al 2008",3
"Hu et al 2020","Tong et al 2009",2
"Hu et al 2020","Tong et al 2010",7
"Hu et al 2020","Tong et al 2011",9
"Hu et al 2020","Tong et al 2012",9
"Hu et al 2020","Tong et al 2018",2
"Hu et al 2020","Tong et al.,2014",1
"Hu et al 2020","Tong et al.,2015",1
"Hu et al 2020","Tong et al.,2016",1
"Hu et al 2020","Wan et al 2015",2
"Hu et al 2020","Wang and Wan 2017",4
"Hu et al 2020","Wang et al 2009",6
"Hu et al 2020","Wang et al 2012",1
"Hu et al 2020","Wang et al 2014",4
"Hu et al 2020","Wang et al 2015",2
"Hu et al 2020","Wang et al 2016",1
"Hu et al 2020","Wang et al 2018",2
"Hu et al 2020","Xie et al 2011",1
"Hu et al 2020","Xu et al 2013",3
"Hu et al 2020","Xu et al 2014",3
"Hu et al 2020","Xu et al 2016",4
"Hu et al 2020","Yan et al 2017",4
"Hu et al 2020","Yang et al 2006",2
"Hu et al 2020","Yang et al 2018",6
"Hu et al 2020","Ye et al 2016",2
"Hu et al 2020","Yin et al 2015",3
"Hu et al 2020","Yu et al 2012",1
"Hu et al 2020","Yuan et al 2015",4
"Hu et al 2020","Zeng et al 2010",3
"Hu et al 2020","Zhang et al 2013",4
"Hu et al 2020","Zhang et al 2018",1
"Hu et al 2020","Zhou et al 2009",4
"Wails et al 2021","Song et al 2015",2
"Xia et al 2022","Gao et al 2016",3
