No,Site,Sub-Plot,Latitude,Longitude,
1,Barreto,1,S00 39.335,W047 23.654,
2,Barreto,2,S00 39.328,W047 23.654,
3,Barreto,3,S00 39.317,W047 23.658,
4,Barreto,4,S00 39.309,W047 23.652,
5,Barreto,6,S00 39.302,W047 23.650,
6,Barreto,6,S00 39.292,W047 23.648,
7,Boca Grande,1,S00 51.070,W047 21.068,
8,Boca Grande,2,S00 51.063,W047 21.059,
9,Boca Grande,3,S00 51.057,W047 21.058,
10,Boca Grande,4,S00 51.051,W047 21.052,
11,Boca Grande,5,S00 51.044,W047 21.045,
12,Boca Grande,6,S00 51.036,W047 21.040,
13,Caete,1,S00 59.031,W047 22.044,
14,Caete,2,S00 59.019,W047 22.044,
15,Caete,3,S00 59.016,W047 22.049,
16,Caete,4,S00 59.012,W047 22.052,
17,Caete,5,S00 59.003,W047 22.055,
18,Caete,6,S00 58.995,W047 22.059,
19,Furo Do Chato,1,S00 52.873,W048 00.824,
20,Furo Do Chato,2,S00 52.882,W048 00.817,
21,Furo Do Chato,3,S00 52.895,W048 00.813,
22,Furo Do Chato,4,S00 52.904,W048 00.800,
23,Furo Do Chato,5,S00 52.916,W048 00.793,
24,Furo Do Chato,6,S00 52.926,W048 00.786,
25,Furo Grande,1,S00 50.480,W046 41.565,
26,Furo Grande,2,S00 50.517,W046 41.562,
27,Mangue Sul,1,S00 55.082,W046 41.557,
28,Mangue Sul,2,S00 55.086,W046 41.555,
29,Mangue Sul,3,S00 55.097,W046 41.551,
30,Mangue Sul,4,S00 55.100,W046 41.549,
31,Mangue Sul,5,S00 55.113,W046 43.480,
32,Mangue Sul,6,S00 55.122,W046 43.467,
33,Marisma high,1,S00 54.944,W046 43.460,
34,Marisma high,2,S00 54.940,W046 43.453,
35,Marisma high,3,S00 54.936,W046 43.441,
36,Marisma high,4,S00 54.932,W046 43.439,
37,Marisma high,5,S00 54.928,W046 40.759,
38,Marisma high,6,S00 54.925,W046 40.751,
39,Marisma low,1,S00 54.812,W046 40.746,
40,Marisma low,2,S00 54.821,W046 40.741,
41,Marisma low,3,S00 54.832,W046 40.737,
42,Marisma low,4,S00 54.841,W046 40.731,
43,Marisma low,5,S00 54.852,W046 40.726,
44,Marisma low,6,S00 54.864,W046 40.890,
45,Marisma medium,1,S00 54.741,W046 40.901,
46,Marisma medium,2,S00 54.739,W046 40.910,
47,Marisma medium,3,S00 54.736,W046 40.920,
48,Marisma medium,4,S00 54.734,W046 40.930,
49,Marisma medium,5,S00 54.733,W046 40.942,
50,Marisma medium,6,S00 54.730,W046 39.138,
51,Maruipe,1,S00 39.296,W046 39.143,
52,Maruipe,2,S00 39.309,W046 39.147,
53,Maruipe,3,S00 39.319,W046 39.149,
54,Maruipe,4,S00 39.333,W046 39.150,
55,Maruipe,5,S00 39.341,W046 39.154,
56,Maruipe,6,S00 39.352,W046 40.998,
57,Sa˜o Caetano,1,S00 44.949,W046 40.988,
58,Sa˜o Caetano,2,S00 44.960,W046 40.977,
59,Sa˜o Caetano,3,S00 44.969,W046 40.967,
60,Sa˜o Caetano,4,S00 44.974,W046 40.956,
61,Sa˜o Caetano,5,S00 44.984,W046 40.945,
62,Sa˜o Caetano,6,S00 44.989,W046 38.316,
63,Salina,1,S00 37.952,W046 38.224,
64,Salina,2,S00 37.964,W046 38.232,
65,Salina,3,S00 37.972,W046 38.241,
66,Salina,4,S00 37.984,W046 38.250,
67,Salina,5,S00 37.991,W046 38.256,
68,Salina,6,S00 38.007,W046 38.269,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
