"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","SOM_perc_Heiri"
"1","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",4.18,1.62,2.96
"2","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",3.99,0.79,1.52
"3","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",3.13,0.69,1.26
"4","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",1.68,0.95,1.43
"5","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",1.04,0.68,0.9
"6","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.86,0.48,1.16
"7","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.94,0.38,0.64
"8","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",1.29,0.47,0.74
"9","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",1.09,0.46,1.05
"10","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",1.31,0.38,0.67
"11","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",3.45,0.71,1.3
"12","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",3.08,1.28,1.78
"13","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",3.14,0.82,1.4
"14","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",3.26,0.59,0.85
"15","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",2.07,0.57,1.2
"16","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",2.21,0.28,0.52
"17","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",2.15,0.37,0.56
"18","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",2.35,0.54,0.8
"19","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",1.82,0.5,0.88
"20","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",2.44,0.34,0.82
"21","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",7.16,1.42,3.36
"22","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",1.82,1.34,1.84
"23","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",1.07,1.07,2.33
"24","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",0.98,0.65,1.26
"25","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",1.19,0.53,1.25
"26","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.43,0.7,1.04
"27","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.17,1.16,1.3
"28","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",0.19,1.29,1.76
"29","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",0.29,0.71,1.54
"30","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",0.34,0.88,1.07
"31","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",1.47,0.71,2.1
"32","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",2.44,0.78,2.26
"33","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",1.7,3.41,2.13
"34","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",0.66,0.75,2.01
"35","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",0.41,1.73,1.74
"36","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.19,0.69,1.82
"37","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.17,0.82,1.65
"38","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",0.23,0.84,2.03
"39","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",0.22,0.77,1.39
"40","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",0.3,0.65,1.27
